DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2013,7.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2014,7.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2015,7.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2016,6.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2017,5.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2018,4.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2019,4.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2020,5.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2021,6.0,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2022,6.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2023,5.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Romania,2024,5.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2013,21.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2014,18.5,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2015,16.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2016,14.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2017,13.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2018,12.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2019,10.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2020,8.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2021,10.3,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2022,9.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2023,9.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Serbia,2024,8.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2013,8.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2014,8.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2015,7.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2016,7.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2017,7.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2018,6.5,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2019,6.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2020,8.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2021,8.6,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2022,7.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2023,7.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Sweden,2024,8.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2013,9.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2014,9.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2015,8.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2016,7.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2017,5.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2018,4.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2019,4.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2020,4.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2021,4.3,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2022,3.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2023,3.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovenia,2024,3.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2013,14.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2014,12.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2015,10.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2016,8.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2017,7.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2018,6.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2019,5.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2020,6.4,,
