country,year,birth_rate,birth_rate_change,mean_age_first_marriage,marriage_age_change,hpi_index,hicp_index,hpi_growth,hicp_growth,gdp_growth,unemp_rate,hpi_growth_lag1,hicp_growth_lag1,gdp_growth_lag1,unemp_rate_lag1,birth_rate_lag1,birth_rate_lag2,mean_age_first_marriage_lag1,mean_age_first_marriage_lag2,hpi_growth_roll3_mean,hicp_growth_roll3_mean,gdp_growth_roll3_mean,unemp_rate_roll3_mean,marriage_rate,marriage_rate_lag1,marriage_rate_lag2,marriage_rate_roll3_mean,hpi_growth_lag2,hicp_growth_lag2,gdp_growth_lag2,unemp_rate_lag2
Netherlands,2017,9.9,-0.1999999999999993,32.65,0.2999999999999971,113.81,101.4,8.091936556178169,1.288582559184892,2.8,4.8999999999999995,5.290000000000017,0.11000000000001,2.4,6.033333333333334,10.1,,32.35,,6.690968278089093,0.6992912795924511,2.5999999999999996,5.466666666666667,3.8,,,,,,,
Netherlands,2018,9.8,-0.0999999999999996,32.85,0.2000000000000028,124.4,103.02,9.304981987523076,1.5976331360946672,2.3,3.8333333333333335,8.091936556178169,1.288582559184892,2.8,4.8999999999999995,9.9,10.1,32.65,32.35,7.562306181233754,0.9987385650931898,2.5,4.9222222222222225,3.7,3.8,,3.75,,,,
Netherlands,2019,9.8,0.0,33.15,0.2999999999999971,133.38,105.78,7.218649517684872,2.6790914385556253,2.3,3.4,9.304981987523076,1.5976331360946672,2.3,3.8333333333333335,9.8,9.9,32.85,32.65,8.205189353795372,1.8551023779450615,2.4666666666666663,4.044444444444444,3.7,3.7,3.8,3.733333333333333,8.091936556178169,1.288582559184892,2.8,4.8999999999999995
Portugal,2017,8.3,-0.0999999999999996,31.6,0.3000000000000007,117.02,102.2,9.2419716206124,1.5500794912559623,3.3,9.0,7.120000000000015,0.6399999999999961,2.0,11.199999999999998,8.4,,31.3,,8.180985810306208,1.0950397456279792,2.65,10.099999999999998,3.3,,,,,,,
Portugal,2018,8.4,0.0999999999999996,32.0,0.3999999999999986,129.03,103.4,10.263202871304046,1.1741682974559795,2.9,7.066666666666666,9.2419716206124,1.5500794912559623,3.3,9.0,8.3,8.4,31.6,31.3,8.875058163972154,1.121415929570646,2.733333333333333,9.088888888888889,3.4,3.3,,3.3499999999999996,,,,
Portugal,2019,8.4,0.0,32.35,0.3500000000000014,141.88,103.71,9.958924281174909,0.2998065764023172,2.7,6.5,10.263202871304046,1.1741682974559795,2.9,7.066666666666666,8.4,8.3,32.0,31.6,9.821366257697118,1.008018121704753,2.966666666666667,7.522222222222223,3.2,3.4,3.3,3.3000000000000003,9.2419716206124,1.5500794912559623,3.3,9.0
Slovakia,2017,10.7,0.0999999999999996,29.9,0.1999999999999957,112.91,100.9,5.849817193212714,1.3866559485530727,2.9,8.133333333333333,6.669999999999998,-0.4800000000000026,1.9,9.766666666666667,10.6,,29.700000000000003,,6.259908596606357,0.453327974276535,2.4,8.95,5.8,,,,,,,
Slovakia,2018,10.6,-0.0999999999999996,30.049999999999997,0.1499999999999985,121.32,103.46,7.448410238242853,2.537165510406325,4.1,6.533333333333334,5.849817193212714,1.3866559485530727,2.9,8.133333333333333,10.7,10.6,29.9,29.700000000000003,6.656075810485189,1.1479404863197984,2.9666666666666663,8.144444444444444,5.7,5.8,,5.75,,,,
Slovakia,2019,10.5,-0.0999999999999996,30.049999999999997,0.0,132.4,106.33,9.13287174414772,2.7740189445196295,2.3,5.8,7.448410238242853,2.537165510406325,4.1,6.533333333333334,10.6,10.7,30.049999999999997,29.9,7.4770330585344285,2.2326134678263423,3.0999999999999996,6.822222222222223,5.4,5.7,5.8,5.633333333333333,5.849817193212714,1.3866559485530727,2.9,8.133333333333333
Slovenia,2017,9.8,-0.0999999999999996,31.65,0.1999999999999957,111.79,101.4,8.271186440677969,1.552328492739119,5.2,6.633333333333333,3.2499999999999973,-0.1500000000000056,3.0,8.033333333333333,9.9,,31.450000000000003,,5.760593220338983,0.7011642463695567,4.1,7.333333333333333,3.1,,,,,,,
